         420213 function calls (416515 primitive calls) in 2.326 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\urllib\parse.py:28(<module>)
      290    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1061(_path_importer_cache)
        1    0.000    0.000    0.002    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\markers.py:4(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\bz2.py:5(<module>)
       68    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\subprocess.py:356(<module>)
      603    0.001    0.000    0.002    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\genericpath.py:111(_splitext)
       30    0.000    0.000    0.002    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2364(__init__)
        1    0.000    0.000    0.002    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\email\_policybase.py:4(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\selectors.py:5(<module>)
     7404    0.002    0.000    0.002    0.000 rts.py:1387(update)
      136    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:243(cache_from_source)
11071/11070    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       11    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1044(_path_hooks)
        2    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
       36    0.000    0.000    0.002    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1381(safe_version)
        9    0.002    0.000    0.002    0.000 {built-in method io.open}
        8    0.001    0.000    0.002    0.000 rts.py:704(create_map)
        1    0.000    0.000    0.002    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\hashlib.py:53(<module>)
